cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
DBDS	FINAL202103	UKBB	MD_glm_202012	eur	eur	0.6988	0.053	13.192	9.7576e-40	0.0289	0.0018	1.0161	0.0073	0.0025	0.0057
deCODE	DEPALL_FINAL_WHEAD	iPSYCH	2012_HRC	eur	eur	0.6614	0.0905	7.3085	2.7008e-13	0.1455	0.0153	1.0254	0.0094	0.0111	0.0063
deCODE	DEPALL_FINAL_WHEAD	iPSYCH	2015i_HRC	eur	eur	0.9005	0.1305	6.899	5.2373e-12	0.1154	0.021	0.9958	0.008	-7e-4	0.0055
deCODE	DEPALL_FINAL_WHEAD	lgic2	202011	eur	eur	0.7352	0.2446	3.0056	0.0027	0.173	0.078	0.9987	0.0069	0.001	0.005
deCODE	DEPALL_FINAL_WHEAD	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESTBB	EstBB	deCODE	DEPALL_FINAL_WHEAD	eur	eur	2.2967	1.0761	2.1342	0.0328	0.0861	0.0103	0.9989	0.0074	-0.0015	0.0045
ESTBB	EstBB	EXCEED	202010	eur	eur	2.0822	2.5305	0.8228	0.4106	0.0854	0.1673	1.0019	0.0069	7e-4	0.0053
ESTBB	EstBB	FinnGen	R5_18032020	eur	eur	2.877	1.1977	2.4022	0.0163	0.022	0.003	1.0511	0.0077	0.0059	0.0051
ESTBB	EstBB	GenScot	1215a	eur	eur	1.4124	0.9299	1.5188	0.1288	0.1039	0.0564	0.9932	0.0062	0.0012	0.0047
ESTBB	EstBB	GERA	0915a_mds5	eur	eur	1.652	0.5996	2.7551	0.0059	0.0403	0.0103	0.996	0.0071	0.0067	0.0049
ESTBB	EstBB	HUNT	gp_all_20190625	eur	eur	1.703	0.6133	2.7767	0.0055	0.0424	0.0153	1.0081	0.007	0.0045	0.0056
ESTBB	EstBB	HUNT	hospital_all_20190625	eur	eur	1.6536	0.4815	3.4345	6e-4	0.0992	0.0233	0.9922	0.007	0.0093	0.0049
ESTBB	EstBB	iPSYCH	2012_HRC	eur	eur	1.7505	0.6677	2.6218	0.0087	0.1456	0.0149	1.0258	0.0096	-0.0013	0.0059
ESTBB	EstBB	iPSYCH	2015i_HRC	eur	eur	1.393	0.4446	3.133	0.0017	0.1124	0.0211	0.9978	0.008	0.0032	0.0051
ESTBB	EstBB	lgic2	202011	eur	eur	0.9889	0.5138	1.9246	0.0543	0.1856	0.0856	0.9976	0.0072	0.0025	0.0054
ESTBB	EstBB	MDD29	0120a_rmUKBB	eur	eur	1.8965	0.5149	3.683	2e-4	0.1131	0.0147	0.9862	0.0081	-0.0021	0.0057
ESTBB	EstBB	MDD47	29w2_18w3_1503	eur	eur	1.9427	0.5444	3.5683	4e-4	0.0767	0.0083	1.0088	0.0076	0.002	0.0055
ESTBB	EstBB	MoBa	harvest12	eur	eur	2.0341	1.1453	1.7761	0.0757	0.0547	0.0506	0.998	0.0085	-3e-4	0.0058
ESTBB	EstBB	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESTBB	EstBB	MoBa	rotterdam1	eur	eur	2.1466	1.7808	1.2054	0.228	0.0381	0.0546	1.0052	0.0078	-0.0068	0.0055
ESTBB	EstBB	MVP	ICDdep_AllSex_202101	eur	eur	1.8964	0.6208	3.0548	0.0023	0.0486	0.0034	1.0219	0.0092	-9e-4	0.0056
ESTBB	EstBB	PBK	2020	eur	eur	1.6721	0.6695	2.4977	0.0125	0.0613	0.0189	0.998	0.0062	-0.003	0.0051
ESTBB	EstBB	PGC	wray2018	eur	eur	1.9869	0.5449	3.6465	3e-4	0.0558	0.0024	1.0061	0.0103	0.0021	0.0061
ESTBB	EstBB	PREFECT	run1	eur	eur	0.9793	0.3358	2.9166	0.0035	0.5176	0.0995	0.9881	0.0076	7e-4	0.0058
ESTBB	EstBB	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0708	0.0526	1.0136	0.0079	-0.0054	0.0051
ESTBB	EstBB	tkda1	run1	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESTBB	EstBB	UKBB	MD_glm_202012	eur	eur	2.0162	0.7413	2.7198	0.0065	0.0295	0.0017	1.0124	0.0072	0.0093	0.0045
EXCEED	202010	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.335	0.4915	0.6816	0.4955	0.0803	0.0112	1.0053	0.0086	0.0017	0.0049
EXCEED	202010	FinnGen	R5_18032020	eur	eur	1.2404	1.275	0.9728	0.3307	0.0236	0.0033	1.0468	0.0089	-0.0037	0.0049
EXCEED	202010	GenScot	1215a	eur	eur	1.8937	2.4351	0.7777	0.4368	0.0973	0.0594	0.9952	0.0067	-0.0102	0.0047
EXCEED	202010	GERA	0915a_mds5	eur	eur	1.8874	2.8805	0.6552	0.5123	0.0364	0.0113	1.0007	0.0084	-0.008	0.0053
EXCEED	202010	HUNT	gp_all_20190625	eur	eur	0.6555	0.895	0.7325	0.4639	0.0479	0.016	1.0056	0.0075	0.0038	0.0052
